"id"	"disease_code"	"disease_name"	"diseaseICD"	"disease_category"
"2"	"GDXHL"	"古典型霍乱"	"A00.051"	"霍乱"
"3"	"ZXDXHL"	"中型[典型]霍乱"	"A00.052"	"霍乱"
"4"	"ZXBFXHGXHL"	"重型[暴发型或干性]霍乱"	"A00.053"	"霍乱"
"5"	"QXFDXHL"	"轻型[非典型]霍乱"	"A00.151"	"霍乱"
"6"	"AETHL"	"埃尔托霍乱"	"A00.152"	"霍乱"
"7"	"AETXCY"	"埃尔托小肠炎"	"A00.153"	"肠炎"
"8"	"HL"	"霍乱 NOS"	"A00.901"	"霍乱"
"9"	"SH"	"伤寒"	"A01.001"	"伤寒"
"10"	"SHGJXBXZ"	"伤寒杆菌性败血症"	"A01.002"	"伤寒"
"11"	"SHXNMY"	"伤寒性脑膜炎"	"A01.003+"	"脑膜炎"
"12"	"SHFY"	"伤寒肺炎"	"A01.051+"	"肺炎"
"13"	"SHFMY"	"伤寒腹膜炎"	"A01.052"	"伤寒"
"14"	"ABTSBSH"	"埃贝特Eberth`s氏病(伤寒)"	"A01.053"	"伤寒"
"15"	"CCXXSH"	"肠出血性伤寒"	"A01.054"	"伤寒"
"16"	"SHXCCK"	"伤寒性肠穿孔"	"A01.055"	"伤寒"
"17"	"CSH"	"肠伤寒"	"A01.056"	"伤寒"
"18"	"SHYXCY"	"伤寒样小肠炎"	"A01.057"	"肠炎"
"19"	"JXFSH"	"甲型副伤寒"	"A01.101"	"伤寒"
"20"	"YXFSH"	"乙型副伤寒"	"A01.201"	"伤寒"
"21"	"BXFSH"	"丙型副伤寒"	"A01.301"	"伤寒"
"22"	"FSH"	"副伤寒"	"A01.401"	"伤寒"
"23"	"QSMSJCY"	"Ｂ群沙门氏菌肠炎"	"A02.001"	"肠炎"
"24"	"QSMSJCY"	"Ｃ群沙门氏菌肠炎"	"A02.002"	"肠炎"
"25"	"AGLSMSJCY"	"阿哥拉沙门氏菌肠炎"	"A02.003"	"肠炎"
"26"	"SMSJXCY"	"沙门氏菌性肠炎"	"A02.004"	"肠炎"
"27"	"SMSJLDXQXCY"	"沙门氏菌伦敦血清型肠炎"	"A02.005"	"肠炎"
"28"	"SMSJWCY"	"沙门氏菌胃肠炎"	"A02.006"	"肠炎"
"29"	"SSHSMSJXCY"	"鼠伤寒沙门氏菌性肠炎"	"A02.007"	"肠炎"
"30"	"YESMSJCY"	"婴儿沙门氏菌肠炎"	"A02.008"	"肠炎"
"31"	"SMSJCDGR"	"沙门氏菌肠道感染"	"A02.051"	"肠道疾病"
"32"	"SMSJYLSNXCY"	"沙门氏菌(亚利桑那)小肠炎"	"A02.052"	"肠炎"
"33"	"SMSJBXZ"	"沙门氏菌败血症"	"A02.101"	"败血症"
"34"	"SMSJSSHBYBXZ"	"沙门氏菌鼠伤寒伴有败血症"	"A02.102"	"伤寒"
"35"	"SMSJXFY"	"沙门氏菌性肺炎"	"A02.201+"	"肺炎"
"36"	"SMSJXGJY"	"沙门氏菌性关节炎"	"A02.202+"	"关节疾病"
"37"	"SMSJXNMY"	"沙门氏菌性脑膜炎"	"A02.203+"	"脑膜炎"
"38"	"SMSJXGSY"	"沙门氏菌性骨髓炎"	"A02.251+"	"骨髓炎"
"39"	"SMSJXSXGJZB"	"沙门氏菌性肾小管-间质病"	"A02.252+"	"间质病"
"40"	"QTTZDSMSJGR"	"其他特指的沙门氏菌感染"	"A02.851"	"感染"
"41"	"SMSJGR"	"沙门氏菌感染 NOS"	"A02.901"	"感染"
"42"	"SSHSMSJGR"	"鼠伤寒沙门氏菌感染"	"A02.902"	"伤寒"
"43"	"SMSJSSWZD"	"沙门氏菌属食物中毒"	"A02.903"	"食物中毒"
"44"	"SMSZHJLJ"	"什密氏志贺菌痢疾"	"A03.001"	"痢疾"
"45"	"ZHKLZLJYQZHJB"	"志贺-克鲁泽痢疾[A亚群志贺菌病]"	"A03.051"	"痢疾"
"46"	"SMCSDCLJ"	"施米茨(－施蒂策)痢疾"	"A03.052"	"痢疾"
"47"	"FSZHJLJ"	"弗氏志贺菌痢疾"	"A03.101"	"痢疾"
"48"	"XSLSXJXLJ"	"希斯－罗素细菌性痢疾"	"A03.151"	"细菌性疾病"
"49"	"BSZHJLJ"	"鲍氏志贺菌痢疾"	"A03.201"	"痢疾"
"50"	"BYDXJXLJ"	"波伊德细菌性痢疾"	"A03.251"	"细菌性疾病"
"51"	"SNSZHJLJ"	"宋内氏志贺菌痢疾"	"A03.301"	"痢疾"
"52"	"BDXZHJLJ"	"不定型志贺菌痢疾"	"A03.801"	"痢疾"
"53"	"JLHHGR"	"菌痢混合感染"	"A03.802"	"感染"
"54"	"QTZHJLJ"	"其他志贺菌痢疾"	"A03.851"	"痢疾"
"55"	"XJXLJ"	"细菌性痢疾 NOS"	"A03.901"	"细菌性疾病"
"56"	"MXXJXLJJXFZ"	"慢性细菌性痢疾急性发作"	"A03.902"	"细菌性疾病"
"57"	"MXQYXXJXLJ"	"慢性迁延型细菌性痢疾"	"A03.903"	"细菌性疾病"
"58"	"MXYFXJL"	"慢性隐伏型菌痢"	"A03.904"	"其它暂时无法归类的"
"59"	"ZDXBFXLJ"	"中毒性[暴发型]痢疾"	"A03.905"	"痢疾"
"60"	"XJXJCY"	"细菌性结肠炎"	"A03.951"	"肠炎"
"61"	"XJXGJYLJ"	"细菌性关节炎痢疾"	"A03.952+"	"关节疾病"
"62"	"XSECBYXDCAXSJCY"	"新生儿肠病原性大肠埃希氏菌肠炎"	"A04.001"	"肠炎"
"63"	"CBYXDCAXSJCY"	"肠病原性大肠埃希氏菌肠炎"	"A04.002"	"肠炎"
"64"	"CDYBXDCAXSJGR"	"肠道原病性大肠埃希氏菌感染"	"A04.051"	"肠道疾病"
"65"	"CDXDCAXSJCY"	"肠毒性大肠埃希氏菌肠炎"	"A04.101"	"肠炎"
"66"	"XSECDXDCAXSJCY"	"新生儿肠毒性大肠埃希氏菌肠炎"	"A04.102"	"肠炎"
"67"	"CDXDCAXSJGR"	"肠毒性大肠埃希氏菌感染"	"A04.151"	"感染"
"68"	"QXXDCAXSJCY"	"侵袭性大肠埃希氏菌肠炎"	"A04.201"	"肠炎"
"69"	"XSEQXXDCGJCY"	"新生儿侵袭性大肠杆菌肠炎"	"A04.202"	"肠炎"
"70"	"CXXDCAXSJCY"	"出血性大肠埃希氏菌肠炎"	"A04.301"	"肠炎"
"71"	"XSECXXDCGJCY"	"新生儿出血性大肠杆菌肠炎"	"A04.302"	"肠炎"
"72"	"DCAXSGJXCDGR"	"大肠埃希氏杆菌性肠道感染"	"A04.401"	"肠道疾病"
"73"	"XSEDCGJCY"	"新生儿大肠杆菌肠炎"	"A04.402"	"肠炎"
"74"	"XSENFXDCGJCY"	"新生儿粘附性大肠杆菌肠炎"	"A04.403"	"肠炎"
"75"	"NFXDCGJCY"	"粘附性大肠杆菌肠炎"	"A04.404"	"肠炎"
"76"	"WQGJCY"	"弯曲杆菌肠炎"	"A04.501"	"肠炎"
"77"	"YESSJCYBXB"	"耶尔森氏菌肠炎[冰箱病]"	"A04.601"	"肠炎"
"78"	"NBSZYBGJCY"	"难辨梭状芽胞杆菌肠炎"	"A04.701"	"肠炎"
"79"	"NBSZYBGJXXCJCY"	"难辨梭状芽胞杆菌性小肠结肠炎"	"A04.751"	"肠炎"
"80"	"BLDBJCY"	"吡邻单胞菌肠炎"	"A04.801"	"肠炎"
"81"	"BXGJXCY"	"变形杆菌性肠炎"	"A04.802"	"肠炎"
"82"	"CQGJCY"	"产气杆菌肠炎"	"A04.803"	"肠炎"
"83"	"CDYYJGR"	"肠道厌氧菌感染"	"A04.804"	"肠道疾病"
"84"	"FHL"	"副霍乱"	"A04.805"	"霍乱"
"85"	"FRXGJCY"	"副溶血孤菌肠炎"	"A04.806"	"肠炎"
"86"	"JHSPTQJXCY"	"金黄色葡萄球菌性肠炎"	"A04.807"	"肠炎"
"87"	"LNGJXCY"	"绿脓杆菌性肠炎"	"A04.808"	"肠炎"
"88"	"NBYBGJCY"	"难辨芽胞杆菌肠炎"	"A04.809"	"肠炎"
"89"	"SSQDBJCY"	"嗜水气单胞菌肠炎"	"A04.810"	"肠炎"
"90"	"CQJMSZYBGJCQJMGJCY"	"产气荚膜梭状芽胞杆菌(产气荚膜杆菌)肠炎"	"A04.851"	"肠炎"
"91"	"CDGR"	"肠道感染"	"A04.901"	"肠道疾病"
"92"	"XJXCY"	"细菌性肠炎 NOS"	"A04.902"	"肠炎"
"93"	"GRXFX"	"感染性腹泻"	"A04.903"	"感染"
"94"	"PTQJXSWZD"	"葡萄球菌性食物中毒"	"A05.001"	"食物中毒"
"95"	"RDZD"	"肉毒中毒"	"A05.101"	"中毒"
"96"	"RDSZYBGJXSWZD"	"肉毒梭状芽胞杆菌性食物中毒"	"A05.151"	"食物中毒"
"97"	"CXXHSXCY"	"出血性坏死性肠炎"	"A05.201"	"肠炎"
"98"	"JXHSXCY"	"急性坏死性肠炎"	"A05.202"	"肠炎"
"99"	"JXCXXHSXCY"	"急性出血性坏死性肠炎"	"A05.203"	"肠炎"
"100"	"HSXCY"	"坏死性肠炎"	"A05.251"	"肠炎"
"101"	"CQJMSZYBGJWEXSZYBGJX"	"产气夹膜梭状芽胞杆菌[韦尔希梭状芽胞杆菌]性食物中毒"	"A05.252"	"食物中毒"
"102"	"ZFB"	"猪腹病"	"A05.253"	"其它腹部疾病"
"103"	"FRXHJXSWZD"	"副溶血弧菌性食物中毒"	"A05.301"	"食物中毒"
"104"	"LYYBGJXSWZD"	"蜡样芽胞杆菌性食物中毒"	"A05.451"	"食物中毒"
"105"	"DCGJXSWZD"	"大肠杆菌性食物中毒"	"A05.851"	"食物中毒"
"106"	"SYGJXSWZD"	"嗜盐杆菌性食物中毒"	"A05.852"	"食物中毒"
"107"	"XJXSWZD"	"细菌性食物中毒"	"A05.901"	"食物中毒"
"108"	"SWZD"	"食物中毒 NOS"	"A05.951"	"食物中毒"
"109"	"WCXSWZD"	"胃肠型食物中毒"	"A05.952"	"食物中毒"
"110"	"XCLCSWZD"	"香肠(腊肠)食物中毒"	"A05.953"	"食物中毒"
"111"	"AMBXCY"	"阿米巴性肠炎"	"A06.001"	"肠炎"
"112"	"AMBXJCY"	"阿米巴性结肠炎"	"A06.002"	"肠炎"
"113"	"AMBXLJ"	"阿米巴性痢疾"	"A06.003"	"痢疾"
"114"	"CDAMBB"	"肠道阿米巴病 NOS"	"A06.004"	"肠道疾病"
"115"	"JXAMBLJ"	"急性阿米巴痢疾"	"A06.005"	"痢疾"
"116"	"JXAMBB"	"急性阿米巴病"	"A06.051"	"阿米巴病"
"117"	"MXCDAMBB"	"慢性肠道阿米巴病"	"A06.101"	"肠道疾病"
"118"	"MXAMBXLJ"	"慢性阿米巴性痢疾"	"A06.151"	"痢疾"
"119"	"AMBCKY"	"阿米巴(肠)溃疡"	"A06.152"	"阿米巴病"
"120"	"MXAMBB"	"慢性阿米巴病"	"A06.153"	"阿米巴病"
"121"	"MXAMBBCY"	"慢性阿米巴病肠炎"	"A06.154"	"肠炎"
"122"	"FLJXAMBJCY"	"非痢疾性阿米巴结肠炎"	"A06.201"	"肠炎"
"123"	"FLJXAMBCY"	"非痢疾性阿米巴肠炎"	"A06.251"	"肠炎"
"124"	"JXFLJXAMBCY"	"急性非痢疾性阿米巴肠炎"	"A06.252"	"肠炎"
"125"	"MXFLJXAMBCY"	"慢性非痢疾性阿米巴肠炎"	"A06.253"	"肠炎"
"126"	"AMBXRYZAMBL"	"阿米巴性肉芽肿(阿米巴瘤)"	"A06.301"	"阿米巴病"
"127"	"AMBBCCK"	"阿米巴病肠穿孔"	"A06.351"	"阿米巴病"
"128"	"CDAMB"	"肠道阿米巴"	"A06.352"	"肠道疾病"
"129"	"AMBXGNZ"	"阿米巴性肝脓肿"	"A06.401"	"脓肿"
"130"	"GAMBB"	"肝阿米巴病"	"A06.402"	"肝部疾病"
"131"	"AMBNZ"	"阿米巴脓肿"	"A06.451"	"脓肿"
"132"	"AMBXFNZ"	"阿米巴性肺脓肿"	"A06.501+"	"脓肿"
"133"	"GFAMBNZ"	"肝肺阿米巴脓肿"	"A06.502+"	"脓肿"
"134"	"AMBXNNZ"	"阿米巴性脑脓肿"	"A06.651+"	"脓肿"
"135"	"AMBNHGNZ"	"阿米巴脑和肝脓肿"	"A06.652+"	"脓肿"
"136"	"AMBNHFNZ"	"阿米巴脑和肺脓肿"	"A06.653+"	"脓肿"
"137"	"AMBNHGFNZ"	"阿米巴脑和肝、肺脓肿"	"A06.654+"	"脓肿"
"138"	"AMBXPFKY"	"阿米巴性皮肤溃疡"	"A06.701"	"皮肤病"
"139"	"AMBPY"	"阿米巴皮炎"	"A06.751"	"阿米巴病"
"140"	"FAMBB"	"肺阿米巴病"	"A06.801+"	"阿米巴病"
"141"	"AMBXLWY"	"阿米巴性阑尾炎"	"A06.851"	"阿米巴病"
"142"	"AMBXWYY"	"阿米巴性外阴炎"	"A06.852"	"阿米巴病"
"143"	"AMBXXBY"	"阿米巴性心包炎"	"A06.853+"	"阿米巴病"
"144"	"AMBXGTY"	"阿米巴性龟头炎"	"A06.854+"	"龟头炎"
"145"	"AMBB"	"阿米巴病 NOS"	"A06.901"	"阿米巴病"
"146"	"XDCB"	"小袋虫病"	"A07.001"	"虫病"
"147"	"XDCXLJ"	"小袋虫性痢疾"	"A07.051"	"痢疾"
"148"	"JDCBCJDCLBBMCB"	"贾第虫病(肠贾第虫)[兰伯鞭毛虫病]"	"A07.101"	"虫病"
"149"	"CLXBMCBLSJDBMCB"	"肠梨形鞭毛虫病[蓝氏贾第鞭毛虫病]"	"A07.151"	"虫病"
"150"	"YBZCB"	"隐孢子虫病"	"A07.251"	"虫病"
"151"	"DBZQCBQCB"	"等孢子球虫病(球虫病)"	"A07.301"	"虫病"
"152"	"CDQCB"	"肠道球虫病"	"A07.351"	"肠道疾病"
"153"	"CDDCB"	"肠道滴虫病"	"A07.801"	"肠道疾病"
"154"	"RBZCB"	"肉孢子虫病"	"A07.802"	"虫病"
"155"	"CDMDCB"	"肠道毛滴虫病"	"A07.851"	"肠道疾病"
"156"	"BMCXFX"	"鞭毛虫性腹泻"	"A07.951"	"腹泻"
"157"	"YSDWXJCY"	"原生动物性结肠炎"	"A07.952"	"肠炎"
"158"	"YSDWXLJ"	"原生动物性痢疾"	"A07.953"	"痢疾"
"159"	"YSDWXFX"	"原生动物性腹泻"	"A07.954"	"腹泻"
"160"	"XZLZBDCY"	"旋转(轮状)病毒肠炎"	"A08.001"	"肠炎"
"161"	"NWKBDCY"	"诺瓦克病毒肠炎"	"A08.101"	"肠炎"
"162"	"LXXEX"	"流行性恶心"	"A08.151"	"恶心"
"163"	"LXXBDXNWKXWCB"	"流行性病毒性诺瓦克型胃肠病"	"A08.152"	"胃部疾病"
"164"	"LXXOTZHZBLDLB"	"流行性呕吐综合征[布拉德利病]"	"A08.153"	"其它疾病"
"165"	"LXXWCYSPSB"	"流行性胃肠炎[斯潘塞病]"	"A08.154"	"肠炎"
"166"	"XYJGBDXCY"	"小圆结构病毒性肠炎"	"A08.155"	"肠炎"
"167"	"XBDCY"	"腺病毒肠炎"	"A08.201"	"肠炎"
"168"	"LZBDWCY"	"轮转病毒胃肠炎"	"A08.351"	"肠炎"
"169"	"BDXCY"	"病毒性肠炎"	"A08.401"	"肠炎"
"170"	"BDXWCY"	"病毒性胃肠炎"	"A08.402"	"肠炎"
"171"	"CDBDGR"	"肠道病毒感染"	"A08.451"	"肠道疾病"
"172"	"BDXWCB"	"病毒性胃肠病"	"A08.452"	"胃部疾病"
"173"	"FJHXWJJZS"	"肺结核，显微镜检证实"	"A15.001"	"结核"
"174"	"JHXFXWBXJXWJXTJCZS"	"结核性肺纤维变性，经显微镜下痰检查证实"	"A15.051"	"结核"
"175"	"JHXQXJXWJXTJCZS"	"结核性气胸，经显微镜下痰检查证实"	"A15.052"	"结核"
"176"	"JHXFYJXWJXTJCZS"	"结核性肺炎，经显微镜下痰检查证实"	"A15.053"	"肺炎"
"177"	"JHXZQGKZJXWJXTJCZS"	"结核性支气管扩张，经显微镜下痰检查证实"	"A15.054"	"结核"
"178"	"FJHBJJTPYSZS"	"肺结核病，仅经痰培养所证实"	"A15.101"	"结核"
"179"	"JHXFXWBXJJTPYSZS"	"结核性肺纤维变性，仅经痰培养所证实"	"A15.151"	"结核"
"180"	"JHXQXJJTPYSZS"	"结核性气胸，仅经痰培养所证实"	"A15.152"	"结核"
"181"	"JHXFYJJTPYSZS"	"结核性肺炎，仅经痰培养所证实"	"A15.153"	"肺炎"
"182"	"JHXZQGKZJJTPYSZS"	"结核性支气管扩张，仅经痰培养所证实"	"A15.154"	"结核"
"183"	"FJHBJZZXSZS"	"肺结核病，经组织学所证实"	"A15.201"	"结核"
"184"	"JHXFXWBXJZZXSZS"	"结核性肺纤维变性，经组织学所证实"	"A15.251"	"结核"
"185"	"JHXQXJZZXSZS"	"结核性气胸，经组织学所证实"	"A15.252"	"结核"
"186"	"JHXFYJZZXSZS"	"结核性肺炎，经组织学所证实"	"A15.253"	"肺炎"
"187"	"JHXZQGKZJZZXSZS"	"结核性支气管扩张，经组织学所证实"	"A15.254"	"结核"
"188"	"FJHBJWTZDFFSZS"	"肺结核病，经未特指的方法所证实"	"A15.351"	"结核"
"189"	"JHXFXWBXJWTZDFFSZS"	"结核性肺纤维变性，经未特指的方法所证实"	"A15.352"	"结核"
"190"	"JHXQXJWTZDFFSZS"	"结核性气胸，经未特指的方法所证实"	"A15.353"	"结核"
"191"	"JHXFYJWTZDFFSZS"	"结核性肺炎，经未特指的方法所证实"	"A15.354"	"肺炎"
"192"	"JHXZQGKZJWTZDFFSZS"	"结核性支气管扩张，经未特指的方法所证实"	"A15.355"	"结核"
"193"	"FMLBJJHBJXJXHZZXSZS"	"肺门淋巴结结核病，经细菌学和组织学所证实"	"A15.451"	"结核"
"194"	"ZGLBJJHBJXJXHZZXSZS"	"纵隔淋巴结结核病，经细菌学和组织学所证实"	"A15.452"	"结核"
"195"	"QGZQGLBJJHBJXJXHZZXS"	"气管支气管淋巴结结核病，经细菌学和组织学所证实"	"A15.453"	"结核"
"196"	"FMLBJJHYZS"	"肺门淋巴结结核,已证实"	"A15.501"	"结核"
"197"	"ZQGJHBJXJXHZZXSZS"	"支气管结核病，经细菌学和组织学所证实"	"A15.551"	"结核"
"198"	"SMJHBJXJXHZZXSZS"	"声门结核病，经细菌学和组织学所证实"	"A15.552"	"结核"
"199"	"HJHBJXJXHZZXSZS"	"喉结核病，经细菌学和组织学所证实"	"A15.553"	"喉部疾病"
"200"	"QGJHBJXJXHZZXSZS"	"气管结核病，经细菌学和组织学所证实"	"A15.554"	"结核"
"201"	"JHXXMYJXJXHZZXSZS"	"结核性胸膜炎，经细菌学和组织学所证实"	"A15.601"	"结核"
"202"	"JHXNXJXJXHZZXSZS"	"结核性脓胸，经细菌学和组织学所证实"	"A15.651"	"结核"
"203"	"YFXHXDJHBJXJXHZZXSZS"	"原发性呼吸道结核病，经细菌学和组织学所证实"	"A15.751"	"结核"
"204"	"ZGJHBJXJXHZZSZS"	"纵隔结核病，经细菌学和组织所证实"	"A15.851"	"结核"
"205"	"BYJHBJXJXHZZXSZS"	"鼻咽结核病，经细菌学和组织学所证实"	"A15.852"	"鼻部疾病"
"206"	"DRHBDJHBJXJXHZZXSZS"	"窦(任何鼻窦)结核病，经细菌学和组织学所证实"	"A15.853"	"鼻部疾病"
"207"	"BJHBJXJXHZZXSZS"	"鼻结核病，经细菌学和组织学所证实"	"A15.854"	"鼻部疾病"
"208"	"HXJHBJXJXHZZXSZS"	"呼吸结核病 NOS，经细菌学和组织学所证实"	"A15.951"	"结核"
"209"	"JHXZQGKZXJXHZZJCWYX"	"结核性支气管扩张，细菌学和组织检查为阴性"	"A16.051"	"结核"
"210"	"JHXFXWBXXJXHZZXJCWYX"	"结核性肺纤维变性，细菌学和组织学检查为阴性"	"A16.052"	"结核"
"211"	"JHXFYXJXHZZXJCWYX"	"结核性肺炎，细菌学和组织学检查为阴性"	"A16.053"	"肺炎"
"212"	"JHXQXXJXHZZXJCWYX"	"结核性气胸，细菌学和组织学检查为阴性"	"A16.054"	"结核"
"213"	"FJHBWXJXHZZXJC"	"肺结核病，未做细菌学和组织学检查"	"A16.151"	"结核"
"214"	"JHXZQGKZWXJXHZZXJC"	"结核性支气管扩张，未做细菌学和组织学检查"	"A16.152"	"结核"
"215"	"JHXFXWBXWXJXHZZXJC"	"结核性肺纤维变性，未做细菌学和组织学检查"	"A16.153"	"结核"
"216"	"JHXFYWXJXHZZXJC"	"结核性肺炎，未做细菌学和组织学检查"	"A16.154"	"肺炎"
"217"	"JHXQXWXJXHZZXJC"	"结核性气胸，未做细菌学和组织学检查"	"A16.155"	"结核"
"218"	"FGLXJH"	"肺干酪性结核"	"A16.201"	"结核"
"219"	"FJHWTJXJXHZZXDZS"	"肺结核，未提及细菌学或组织学的证实"	"A16.202"	"结核"
"220"	"FJHLWTJXJXHZZXDZS"	"肺结核瘤，未提及细菌学或组织学的证实"	"A16.203"	"结核"
"221"	"JHXFYGLXFYWTJXJXHZZX"	"结核性肺炎，未提及细菌学或组织学的证实(干酪性肺炎)"	"A16.204"	"肺炎"
"222"	"JHXFXWBXZZXWTJXJXHZZ"	"结核性肺纤维变性(增殖性)，未提及细菌学或组织学的证实"	"A16.205"	"结核"
"223"	"JHXZQGKZWTJXJXHZZXDZ"	"结核性支气管扩张，未提及细菌学或组织学的证实"	"A16.206"	"结核"
"224"	"JRXFJHWTJXJXHZZXDZS"	"浸润型肺结核，未提及细菌学或组织学的证实"	"A16.208"	"结核"
"225"	"KDXFJHWTJXJXHZZXDZS"	"空洞型肺结核，未提及细菌学或组织学的证实"	"A16.209"	"结核"
"226"	"ZZXFJHWTJXJXHZZXDZS"	"增殖型肺结核，未提及细菌学或组织学的证实"	"A16.210"	"结核"
"227"	"FCXJHXWTJXJXHZZXDZS"	"结核性肺出血，未提及细菌学或组织学的证实"	"A16.251"	"结核"
"228"	"JJXFJHWTJXJXHZZXDZS"	"结节型肺结核，未提及细菌学或组织学的证实"	"A16.252"	"结核"
"229"	"JHXFNZWTJXJXHZZXDZS"	"结核性肺脓肿，未提及细菌学或组织学的证实"	"A16.253"	"结核"
"230"	"JHXQXWTJXJXHZZXDZS"	"结核性气胸，未提及细菌学或组织学的证实"	"A16.254"	"结核"
"231"	"XFFJHWTJXJXHZZXDZS"	"矽肺肺结核，未提及细菌学或组织学的证实"	"A16.255"	"结核"
"232"	"FMLBJHWTJXJXHZZXDZS"	"肺门淋巴结核，未提及细菌学或组织学的证实"	"A16.301"	"结核"
"233"	"JHXZQGLBL"	"结核性支气管淋巴瘘"	"A16.302"	"结核"
"234"	"XBLBJJH"	"胸壁淋巴结结核"	"A16.303"	"结核"
"235"	"XNLBJHWTJXJXHZZXDZS"	"胸内淋巴结核，未提及细菌学或组织学的证实"	"A16.304"	"结核"
"236"	"ZQGLBJJH"	"支气管淋巴结结核"	"A16.305"	"结核"
"237"	"ZGLBJHWTJXJXHZZXDZS"	"纵隔淋巴结核，未提及细菌学或组织学的证实"	"A16.306"	"结核"
"238"	"QGZQGLBJHWTJXJXHZZXD"	"气管支气管淋巴结核，未提及细菌学或组织学的证实"	"A16.351"	"结核"
"239"	"HJHWTJXJXHZZXDZS"	"喉结核，未提及细菌学或组织学的证实"	"A16.401"	"喉部疾病"
"240"	"HYJH"	"会厌结核"	"A16.402"	"结核"
"241"	"QGJHWTJXJXHZZXDZS"	"气管结核，未提及细菌学或组织学的证实"	"A16.403"	"结核"
"242"	"GLXQGJH"	"孤立性气管结核"	"A16.404"	"结核"
"243"	"GLXQGZQGJH"	"孤立性气管支气管结核"	"A16.405"	"结核"
"244"	"ZQGJHWTJXJXHZZXDZS"	"支气管结核，未提及细菌学或组织学的证实"	"A16.406"	"结核"
"245"	"ZQGNMJHWTJXJXHZZXDZS"	"支气管内膜结核，未提及细菌学或组织学的证实"	"A16.407"	"结核"
"246"	"SMJHBWTJXJXHZZXDZS"	"声门结核病，未提及细菌学或组织学的证实"	"A16.451"	"结核"
"247"	"JHXGXXMY"	"结核性干性胸膜炎"	"A16.501"	"结核"
"248"	"JHXNXWTJXJXHZZXDZS"	"结核性脓胸，未提及细菌学或组织学的证实"	"A16.502"	"结核"
"249"	"JHXSCXXMY"	"结核性渗出性胸膜炎"	"A16.503"	"结核"
"250"	"JHXXMYWXWTJXJXHZZXDZ"	"结核性胸膜炎(Ⅴ型)，未提及细菌学或组织学的证实"	"A16.504"	"结核"
"251"	"JHXXQJYWTJXJXHZZXDZS"	"结核性胸腔积液，未提及细菌学或组织学的证实"	"A16.505"	"结核"
"252"	"XMJHWTJXJXHZZXDZS"	"胸膜结核，未提及细菌学或组织学的证实"	"A16.506"	"结核"
"253"	"XMJHLWTJXJXHZZXDZS"	"胸膜结核瘤，未提及细菌学或组织学的证实"	"A16.507"	"结核"
"254"	"JHXXMYBJYWTJXJXHZZXD"	"结核性胸膜炎伴积液，未提及细菌学或组织学的证实"	"A16.551"	"结核"
"255"	"FYFXJHXFZYFZHZWTJXJX"	"肺原发性结核性复征(原发综合征)，未提及细菌学或组织学的证实"	"A16.701"	"结核"
"256"	"YFXFJHWTJXJXHZZXDZS"	"原发性肺结核，未提及细菌学或组织学的证实"	"A16.702"	"结核"
"257"	"YFXHXDJHBWTJXJXHZZXD"	"原发性呼吸道结核病，未提及细菌学或组织学的证实"	"A16.751"	"结核"
"258"	"YFXJHXXMYWTJXJXHZZXD"	"原发性结核性胸膜炎，未提及细菌学或组织学的证实"	"A16.752"	"结核"
"259"	"BJHWTJXJXHZZXDZS"	"鼻结核，未提及细菌学或组织学的证实"	"A16.801"	"鼻部疾病"
"260"	"GLXBDYWTJXJXHZZXDZS"	"干酪性鼻窦炎，未提及细菌学或组织学的证实"	"A16.802"	"鼻部疾病"
"261"	"GLXBYJHXBYWTJXJXHZZX"	"干酪性鼻炎(结核性鼻炎)，未提及细菌学或组织学的证实"	"A16.803"	"鼻部疾病"
"262"	"GJH"	"膈结核"	"A16.804"	"结核"
"263"	"XBJHWTJXJXHZZXDZS"	"胸壁结核，未提及细菌学或组织学的证实"	"A16.805"	"结核"
"264"	"YBJH"	"咽部结核"	"A16.806"	"结核"
"265"	"ZGJHL"	"纵膈结核瘤"	"A16.807"	"结核"
"266"	"ZGJHBWTJXJXHZZXDZS"	"纵膈结核病，未提及细菌学或组织学的证实"	"A16.851"	"结核"
"267"	"BDDRHBDJHBWTJXJXHZZX"	"鼻窦道(任何鼻窦)结核病，未提及细菌学或组织学的证实"	"A16.852"	"鼻部疾病"
"268"	"BYJHBWTJXJXHZZXDZS"	"鼻咽结核病，未提及细菌学或组织学的证实"	"A16.853"	"鼻部疾病"
"269"	"BDJHWTJXJXHZZXDZS"	"鼻窦结核，未提及细菌学或组织学的证实"	"A16.854"	"鼻部疾病"
"270"	"BTTJHWTJXJXHZZXDZS"	"扁桃体结核，未提及细菌学或组织学的证实"	"A16.855"	"结核"
"271"	"JHBWTJXJXHZZXDZS"	"结核病，未提及细菌学或组织学的证实 NOS"	"A16.901"	"结核"
"272"	"JHGR"	"结核感染"	"A16.902"	"结核"
"273"	"HXDJHBWTJXJXHZZXDZS"	"呼吸道结核病，未提及细菌学或组织学的证实"	"A16.951"	"结核"
"274"	"JHXJMY"	"结核性脊膜炎"	"A17.001+"	"结核"
"275"	"JHXNJSMY"	"结核性脑脊髓膜炎"	"A17.002+"	"结核"
"276"	"JHXNMY"	"结核性脑膜炎"	"A17.003+"	"结核"
"277"	"JHXZWMY"	"结核性蛛网膜炎"	"A17.051+"	"结核"
"278"	"JHXRNMY"	"结核性柔脑膜炎"	"A17.052+"	"结核"
