"id"	"disease_code"	"disease_name"	"diseaseICD"	"disease_category"
"11530"	"YDSS"	"Ⅰ度晒伤"	"L55.051"	"晒伤"
"11531"	"EDSS"	"Ⅱ度晒伤"	"L55.151"	"晒伤"
"11532"	"SDSS"	"Ⅲ度晒伤"	"L55.251"	"晒伤"
"11533"	"QTSS"	"其他晒伤"	"L55.851"	"晒伤"
"11534"	"SS"	"晒伤 NOS"	"L55.951"	"晒伤"
"11535"	"YWGDXFY"	"药物光毒性反应"	"L56.051"	"药物引起的疾病"
"11536"	"YWGBYFY"	"药物光变应反应"	"L56.151"	"药物引起的疾病"
"11537"	"GJCXPYXLPY"	"光接触性皮炎[香料皮炎]"	"L56.251"	"皮炎"
"11538"	"RGXQMZ"	"日光性荨麻疹"	"L56.351"	"荨麻疹"
"11539"	"XJSP"	"夏季水疱"	"L56.451"	"其它暂时无法归类的"
"11540"	"HQSXJZ"	"哈钦森夏季疹"	"L56.452"	"皮肤病"
"11541"	"GHXCYGZXCY"	"光化性唇炎[光照性唇炎]"	"L56.851"	"其它炎症"
"11542"	"ZWXFSYQDJXPFGB"	"紫外线辐射引起的急性皮肤改变"	"L56.951"	"皮肤病"
"11543"	"LNXJHB"	"老年性角化病"	"L57.001"	"其它疾病"
"11544"	"RGXJHB"	"日光性角化病"	"L57.051"	"其它疾病"
"11545"	"JHB"	"角化病 NOS"	"L57.052"	"其它疾病"
"11546"	"GHXLWZXBZDZ"	"光化性类网状细胞增多症"	"L57.151"	"细胞增多症"
"11547"	"GBLXP"	"颈部菱形皮"	"L57.251"	"其它暂时无法归类的"
"11548"	"XWTPFYSB"	"西瓦特皮肤异色病"	"L57.351"	"皮肤病"
"11549"	"LNXPFSC"	"老年性皮肤松垂"	"L57.451"	"皮肤病"
"11550"	"GHXRYZ"	"光化性肉芽肿"	"L57.551"	"肉芽肿"
"11551"	"GZXPY"	"光照性皮炎"	"L57.801"	"皮炎"
"11552"	"MXBLYFDLFSXYQDWTZDPF"	"慢性暴露于非电离辐射下引起的未特指的皮肤改变"	"L57.951"	"皮肤病"
"11553"	"JXFSXPY"	"急性放射性皮炎"	"L58.051"	"皮炎"
"11554"	"MXFSXPY"	"慢性放射性皮炎"	"L58.151"	"皮炎"
"11555"	"FSXPY"	"放射性皮炎 NOS"	"L58.901"	"皮炎"
"11556"	"HJPYHJHB"	"火激皮炎[火激红斑]"	"L59.051"	"皮炎"
"11557"	"YFSYGDQTTZPFJH"	"与辐射有关的其他特指皮肤疾患"	"L59.851"	"皮肤病"
"11558"	"YFSYGDPFHPXZZJH"	"与辐射有关的皮肤和皮下组织疾患 NOS"	"L59.951"	"皮肤病"
"11559"	"QJ"	"嵌甲"	"L60.001"	"其它暂时无法归类的"
"11560"	"JTLJFLZ"	"甲脱离(甲分离症)"	"L60.151"	"其它暂时无法归类的"
"11561"	"JWQ"	"甲弯曲"	"L60.251"	"其它暂时无法归类的"
"11562"	"CJZ"	"脆甲症"	"L60.301"	"其它暂时无法归类的"
"11563"	"JFD"	"甲肥大"	"L60.351"	"其它暂时无法归类的"
"11564"	"BSX"	"博氏线"	"L60.451"	"其它暂时无法归类的"
"11565"	"HJZHZ"	"黄甲综合征"	"L60.551"	"其它暂时无法归类的"
"11566"	"JCJHGD"	"甲床角化过度"	"L60.801"	"其它暂时无法归类的"
